model,max_batch_size,method,jct,throughput
opt-350m,5,fcfs,4729.31,6.98
opt-350m,5,sjf,2490.955,26.537
opt-350m,10,fcfs,5284.28,10.605
opt-350m,10,sjf,3109.644,52.256
opt-350m,15,fcfs,4254.23,9.435
opt-350m,15,sjf,2561.398,69.324
opt-350m,20,fcfs,4215.24,13.297
opt-350m,20,sjf,2362.466,77.048
opt-350m,25,fcfs,5289.875,9.502
opt-350m,25,sjf,3037.685,91.042
gpt2-medium,5,fcfs,18376.045,0.438
gpt2-medium,5,sjf,16783.53,0.524
gpt2-medium,10,fcfs,11766.32,1.165
gpt2-medium,10,sjf,11058.643,1.28
gpt2-medium,15,fcfs,9752.11,1.606
gpt2-medium,15,sjf,9314.504,1.712
gpt2-medium,20,fcfs,8675.81,2.269
gpt2-medium,20,sjf,8307.958,2.365
gpt2-medium,25,fcfs,8238.45,3.412
gpt2-medium,25,sjf,7948.981,3.526
